id,first_name,last_name,age,score,value
295,Andrea,Clark,46,-1,24547.87
620,Bill,Woods,46,492,46713.9
891,Alexander,Jacobson,48,489,32071.74
914,Derrick,Bradley,52,-1,30650.48
1736,Allison,Thomas,44,-1,9553.12
2049,Stephen,Williams,57,333,138936.92
2241,Malik,Wood,46,-1,10804.47
2607,Amber,Garcia,50,536,9367.27
2635,David,Coleman,68,351,66035.28
3585,Eric,Atkins,56,582,103977.32
4199,Justin,Johnson,59,500,34938.08
6739,Donna,Barnes,48,500,130915.2
7099,Larry,Prince,52,519,28474.33
7264,Megan,Mcmahon,45,349,0.0
7799,Sarah,Jones,47,497,29356.49
8343,Brian,Weber,49,477,17976.51
9386,Jackie,Clark,44,432,15446.53
10753,Laurie,Wood,58,335,
12243,Monica,Sanchez,49,524,35256.88
12250,Erica,Adams,41,-1,2126.22
12841,James,Williams,38,496,2298.05
12913,William,Blevins,39,249,4287.85
13120,Daniel,Key,64,165,17444.32
13255,Kelsey,Palmer,32,519,18858.85
13806,Ashley,Jones,57,-1,80325.66
14033,Larry,Ibarra,34,632,4315.74
14294,Michelle,Walters,58,472,33163.31
15137,Andrea,Simpson,55,-1,12155.47
15391,Charles,Santiago,44,266,0.0
15887,Cassandra,Mann,27,684,17864.92
16263,Victor,Dawson,42,323,
17184,Anne,Zuniga,56,549,81928.82
17345,Kristy,Fletcher,53,492,23577.41
18031,Michael,Watson,39,378,16165.32
18610,Jeffrey,Harrell,52,790,59912.55
19129,Brian,Travis,46,-1,49955.06
19557,Sabrina,Simon,44,-1,14022.29
20708,Dylan,Blake,33,750,6984.92
21427,Benjamin,Tran,34,543,9099.38
22584,Kenneth,Johnson,65,-1,50174.14
23915,Mary,Harris,52,266,106602.81
24650,Stephanie,Hayes,55,-1,15625.5
24779,Scott,Reyes,54,-1,65163.92
24794,Jasmine,Mitchell,53,552,86540.27
24952,James,Wright,51,399,
25259,Jonathan,Martinez,41,305,3659.99
25654,Ronald,Perkins,37,533,20991.69
25735,Anna,Ray,39,578,19122.05
26091,Marie,Wyatt,44,620,
26144,Cameron,Walters,44,416,6641.85
26898,Tina,Riddle,38,310,19281.5
27225,Dennis,Mason,62,622,105449.11
27687,Alice,Murphy,47,355,9317.1
29566,James,Kennedy,69,224,
29868,Jason,Bentley,69,343,60605.08
30323,Martin,Obrien,49,497,13049.86
30524,Kara,Mccoy,47,243,12559.49
31457,John,Shields,51,-1,25184.43
32151,Charles,Lam,47,942,35391.52
32413,Sarah,Harris,53,609,16980.92
33105,Kevin,Sanchez,31,251,1688.31
33863,Brian,Murphy,45,-1,20802.53
34069,Cynthia,West,29,558,1952.0
35466,Samantha,Park,55,483,
35621,Vanessa,Hernandez,35,613,28944.29
35701,Andrew,Nelson,37,406,8145.81
35870,Sabrina,Mcneil,41,649,32979.4
36124,Alison,Sullivan,40,362,6123.06
36575,Elizabeth,Bailey,53,642,16579.52
37045,Mary,Choi,42,682,39519.13
37836,Kristin,King,34,-1,24409.19
37970,Lisa,Myers,50,688,11203.32
38892,Kimberly,Jefferson,60,-1,28155.47
39773,Candace,Johnson,44,429,12802.62
40154,Marie,Daniels,41,512,14380.37
41347,Anthony,Tucker,52,508,21005.42
42138,John,Stuart,28,543,
42140,Aaron,Hart,37,-1,16873.92
42472,Jacqueline,Young,35,618,42726.56
42747,Johnathan,Brown,46,567,15226.86
43140,Nancy,Farley,52,545,30315.75
44627,Eric,Nelson,31,416,0.0
45647,Melissa,Bailey,46,-1,4104.35
47234,Kimberly,Richard,53,465,71801.97
47459,Todd,Davis,44,708,8012.19
47669,Michael,Cowan,61,263,16167.9
48880,Kristen,Dalton,40,555,18512.25
49196,Elizabeth,Gordon,45,642,12377.85
49712,David,Richardson,52,400,24932.04
50960,Maxwell,Mcbride,63,347,105598.79
51723,Megan,Nguyen,40,443,
51784,Elizabeth,Stephens,55,149,12632.32
51909,Michael,Brennan,45,-1,12838.06
52214,Amy,Scott,36,664,11623.7
52428,Bryan,Barnett,64,445,59795.5
53785,Jonathan,Hill,51,344,18568.89
53812,Melissa,Walton,51,-1,0.0
53929,James,Miller,43,419,18051.92
53932,Nicole,Ruiz,36,730,23236.53
54438,Charles,Schneider,47,553,50773.76
54849,Sara,Mendoza,42,124,10769.18
54949,Christine,Myers,45,-1,15230.16
55691,Katherine,Stafford,54,457,169406.7
55821,Sarah,Kennedy,41,709,
56933,Mark,Fletcher,57,253,45151.13
57077,Jason,Price,32,-1,24557.68
57542,Ryan,Lee,43,570,5869.58
57964,Heidi,Allen,57,496,42284.5
58307,Shannon,Bailey,53,596,22575.35
58794,Jared,Brown,61,731,51968.96
59036,Peter,Molina,51,453,15810.33
59363,Steven,Valentine,46,265,6614.88
60177,Christopher,Jones,28,748,25035.69
61015,Nicholas,Chapman,52,289,47600.67
61534,Alexandra,Chavez,39,598,
61557,Kathryn,Boyle,48,369,33674.81
61721,Jason,Murphy,57,163,6766.66
61808,Krista,Smith,56,469,51671.27
63587,Paul,Steele,54,616,69185.93
64423,Dennis,Hernandez,58,329,11611.97
64535,William,Irwin,60,304,24581.63
64654,Pamela,Wilson,52,612,65061.89
64731,Sheila,Zimmerman,32,-1,9726.45
65382,Laura,Burke,35,613,10589.0
66968,Cynthia,Davis,43,424,15326.1
67135,Madeline,Rivera,68,343,30993.97
68932,Nicholas,Chan,46,299,17580.28
68961,David,Simmons,34,702,35725.49
69588,Valerie,Griffin,48,668,10678.15
70182,Monica,Phillips,42,716,17987.82
70600,Lindsey,Young,45,630,13339.26
